Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
2/1/2025 23:59:13.104,8800,PIC8808,CHANGE,,,pida.op,20.0,%
2/1/2025 23:58:40.313,8800,PIC8808,CHANGE,,,pida.op,10.0,%
2/1/2025 23:58:26.196,8800,PIC8808,CHANGE,,,pida.op,0.0,%
2/1/2025 23:58:23.521,8800,PIC8808,CHANGE,,,pida.mode,,
2/1/2025 23:57:55.465,IOLINK01_1,AIOR-103,OP Fail in circuit/field wire,ACK,,,,
2/1/2025 23:57:42.150,8800,TI8808,ALARM,ACK PNT,,DEAERATOR,,
2/1/2025 23:57:42.150,8800,TI8808,PVLOW,ACK,,DEAERATOR,,
2/1/2025 23:57:38.385,8100,AI_PH10,PVHIHI,ACK,,EFFULUENT CHANEL OLD W/S,,
2/1/2025 23:56:54.100,8100,AI_PH10,PVHIHI,,,EFFULUENT CHANEL OLD W/S,8.93968,pH
2/1/2025 23:56:33.689,1300,XSV1349A,CHANGE,,,devctla.gop,,
2/1/2025 23:56:26.420,1300,XSV1309A,CHANGE,,,devctla.gop,,
2/1/2025 23:54:05.400,8800,TI8808,PVLOW,,,DEAERATOR,106.984,DegC
2/1/2025 23:53:28.200,8800,PIC8808,PVLOW,,,DEAERATOR PRESSURE,0.297917,kg/cm2G
2/1/2025 23:53:03.600,IOLINK01_1,AIOR-103,OP Fail in circuit/field wire,,,,,
2/1/2025 23:53:02.700,IOLINK01_1,AIOR-103,OP Fail in circuit/field wire,,,,,
2/1/2025 23:49:26.800,1800,TI1802,PVLOW,,,TW1802 TOP,24.9868,DegC
2/1/2025 23:39:32.080,1500,LIC1502,PVHIGH,ACK,,TW1501,,
2/1/2025 23:39:31.865,1300,EI1305,BAD PV,ACK,,PU1302 CURRENT,,
2/1/2025 23:39:30.314,1500,TIC1514,PVLOW,ACK,,HE1506 DELIVERY,,
2/1/2025 23:39:28.807,1500,DI1506A,BAD PV,ACK,,CE1501A FEED DENSITY,,
2/1/2025 23:39:24.116,1500,MY1506A,BAD PV,ACK,,REJIN FEED CALC A,,
2/1/2025 23:39:16.836,1500,MIC1506A,BAD PV,ACK,,RESIN FEED A,,
2/1/2025 23:37:39.570,1500,XSV1524,CHANGE,,,devctla.modeattr,,
2/1/2025 23:37:28.146,8500,FQC8104,PVLOW,ACK,,VE8607,,
2/1/2025 23:37:24.350,8300,PAL8301,OFFNRM,ACK,,FIRE POMP SYSTEM,,
2/1/2025 23:37:19.137,1500,XSV1524,CHANGE,,,devctla.gop,,
2/1/2025 23:37:02.188,1500,XSV1514,CHANGE,,,devctla.modeattr,,
2/1/2025 23:36:52.252,1500,XSV1514,CHANGE,,,devctla.gop,,
2/1/2025 23:36:48.400,1500,MIC1506A,BAD PV,,,RESIN FEED A,,t/h
2/1/2025 23:36:48.900,1500,MY1506A,BAD PV,,,REJIN FEED CALC A,,kg/h
2/1/2025 23:36:47.500,1500,DI1506A,BAD PV,,,CE1501A FEED DENSITY,,g/cc
2/1/2025 23:35:25.300,8300,PAL8301,OFFNRM,OK,,FIRE POMP SYSTEM,,
2/1/2025 23:35:19.400,8300,PAL8301,OFFNRM,,,FIRE POMP SYSTEM,,
2/1/2025 23:34:13.300,1500,TIC1514,PVLOW,,,HE1506 DELIVERY,27.9682,DegC
